,repository_name,language
0,.github,
1,ads-agentic-tools,Python
2,aioshumway,Python
3,android-auth,Kotlin
4,android-sdk,HTML
5,android-store-service,Python
6,annoy,C++
7,annoy-java,Java
8,apollo,Java
9,apollo-elide,Java
10,apollo-metrics,
11,apps-tutorial,
12,argo-cd,
13,argo-rollouts,
14,async-datastore-client,Java
15,async-google-pubsub-client,Java
16,backup-utils,Shell
17,basic-pitch,Python
18,basic-pitch-ts,TypeScript
19,batty,Python
20,bazel,
21,bazel-tools,Java
22,beam,Java
23,big-data-rosetta-code,Scala
24,bigtable-autoscaler,Java
25,boilerplate-app,
26,bucket-runner,JavaScript
27,cartography,Python
28,cassandra-extra,Java
29,cassandra-medusa,Python
30,cassandra-opstools,Java
31,cassandra-reaper,
32,causify,
33,certcheck,Python
34,chartify,Python
35,code-of-conduct,
36,collectd,C
37,comet,Python
38,comet-common,Python
39,comet-core,Python
40,completable-futures,Java
41,condor,Java
42,confidence,Python
43,confidence-ai-plugins,Python
44,confidence-openfeature-provider-php,PHP
45,confidence-resolver,Rust
46,confidence-sdk-android,Kotlin
47,confidence-sdk-demos,TypeScript
48,confidence-sdk-dotnet,C#
49,confidence-sdk-flutter,Dart
50,confidence-sdk-go,Go
51,confidence-sdk-java,Java
52,confidence-sdk-js,TypeScript
53,confidence-sdk-python,Python
54,confidence-sdk-rust,Rust
55,confidence-sdk-swift,Swift
56,container-agent,Python
57,conversion-api-tag-template,Smarty
58,cookiecutter-golang,Go
59,coordinator,HTML
60,crtauth,Python
61,crtauth-java,Java
62,crtauth-java-agent-signer-apache,Java
63,crunch-lib,Java
64,cstar,Python
65,daemon-java,Java
66,dataenum,Java
67,DataflowJavaSDK,Java
68,dataproc-java-submitter,Java
69,dataprocxy,Python
70,dbeam,Java
71,debify,Shell
72,dh-virtualenv,Python
73,diffuser,Swift
74,dns-java,Java
75,docgenerator,Java
76,docker-alpine,
77,docker-bigtable,Go
78,docker-cassandra,Shell
79,docker-client,Java
80,docker-gc,Shell
81,docker-kafka,Shell
82,docker-maven-plugin,Java
83,docker-stress,Python
84,dockerfile-maven,Java
85,dockerfile-mode,Emacs Lisp
86,docker_interface,Python
87,drserv,Python
88,druid,
89,duck,Ruby
90,echoprint-codegen,C++
91,echoprint-server,Java
92,elasticsearch-index-window,Java
93,elitzur,Scala
94,eslint-config-oss,JavaScript
95,etcd,Go
96,featran,Scala
97,ffwd,Java
98,ffwd-client-java,Java
99,ffwd-http-client,Java
100,ffwd-ruby,Ruby
101,flink,Java
102,flink-docker,
103,flink-on-k8s-operator,Go
104,flo,Java
105,flume-syslog-source2,Java
106,flyte-flink-plugin,Go
107,fmt-maven-plugin,Java
108,folsom,Java
109,foss-root,
110,futures-extra,Java
111,futuristic-feline,Java
112,gcp-audit,Python
113,gcp-aws-iam-federation-webidentity,HCL
114,gcp-firewall-enforcer,Python
115,gcs-tools,Scala
116,ghelog,Python
117,gimme,Python
118,git-test,Shell
119,github-java-client,Java
120,jira-lkk-bridge,Java
121,JniHelpers,C++
122,jsconfeu-2013,JavaScript
123,kafka,Scala
124,kairosdb,Java
